isc_id,genus,species,strain,target_name
A756,Pseudomonas,fragi,
A757,Shewanella,baltica,
A759,Pseudomonas,weihenstephanensis,
A760,Shewanella,baltica,
A763,Shewanella,hafniensis,
A765,Shewanella,baltica,
A769,Pseudomonas,fragi,
A770,Pseudomonas,seleniipraecipitans,
A771,Shewanella,baltica,
A773A,Pseudomonas,extremaustralis,
A774,Peribacillus,simplex,
A775B,Pseudomonas,fluorescens,
A777,Exiguobacterium,oxidotolerans,
A778,Pseudomonas,orientalis,
A779,Shewanella,baltica,
A786,Shewanella,baltica,
A795,Shewanella,baltica,
A796,Pseudomonas,sp.,
A799,Pseudomonas,peli,
A801,Bacillus,pumilus,
A803,Shewanella,hafniensis,
A807,Paenibacillus,mobilis,
A821,Pseudomonas,fragi,
A822,Escherichia,fergusonii,
A823,Shewanella,baltica,
A826,Shewanella,hafniensis,
A829,Shewanella,baltica,
A831,Pseudomonas,fragi,
A832,Shewanella,baltica,
A833,Pseudomonas,antarctica,
A834,Shewanella,baltica,
A836,Shewanella,baltica,
A840,Shewanella,baltica,
A843,Pseudomonas,fragi,
A855,Shewanella,baltica,
A863,Pseudomonas,guineae,
A865,Shewanella,baltica,
A878,Shewanella,baltica,
A887,Serratia,plymuthica,
A893,Shewanella,baltica,
A904,Shewanella,baltica,
A907,Pseudomonas,guineae,
A910,Pseudomonas,fragi,
A912,Shewanella,seohaensis,
A915,Exiguobacterium,oxidotolerans,
A916,Sphingobacterium,faecium,
A917,Bacillus,wiedmannii,
A919,Curtobacterium,plantarum,
A927,Pseudomonas,guineae,
A930,Pseudomonas,fragi,
B155,Bacillus,mycoides,
B156,Shewanella,baltica,
B157,Pseudomonas,baetica,
B159,Shewanella,baltica,
B160,Buttiauxella,gaviniae,
B161,Bacillus,mycoides,
B162,Shewanella,hafniensis,
B164,Bacillus,mycoides,
B166,Shewanella,baltica,
B169,Bacillus,mycoides,
B170,Pseudoalteromonas,neustonica,
B172,Rossellomorea,aquimaris,
B173,Bacillus,aerius,
B174,Pseudomonas,guineae,
B175,Rossellomorea,aquimaris,
B176,Lysinibacillus,fusiformis,
B178,Planococcus,maritimus,
B183,Shewanella,baltica,
B184,Pseudomonas,fildesensis,
B189,Rossellomorea,aquimaris,
B191,Microbacterium,oxydans,
B192,Pseudomonas,punonensis,
B194,Pseudomonas,guineae,
B196,Pseudomonas,azotoformans,
B197,Pseudomonas,guineae,
B198,Pseudomonas,fragi,
B201,Shewanella,baltica,
B203,Bacillus,safensis,
B204,Pseudomonas,psychrophila,
B205,Shewanella,baltica,
B206,Shewanella,baltica,
B209,Shewanella,baltica,
B210,Shewanella,baltica,
B212,Pseudomonas,fragi,
B216,Bacillus,aerius,
B221,Flavobacterium,beibuense,
B225,Fictibacillus,phosphorivorans,
B226,Bacillus,aerophilus,
B227,Rossellomorea,aquimaris,
B228,Pseudomonas,guineae,
B230,Shewanella,baltica,
B231,Rossellomorea,aquimaris,
B232,Pseudomonas,peli,
B239,Exiguobacterium,oxidotolerans,
B244,Bacillus,pumilus,
B245,Acinetobacter,baumannii,
B248,Shewanella,baltica,
B252,Pseudomonas,protegens,
B253,Shewanella,baltica,
B256,Pseudomonas,helmanticensis,
B257,Serratia,plymuthica,
B258,Shewanella,hafniensis,
B259,Pseudomonas,helmanticensis,
B260,Bacillus,mycoides,
B261,Shewanella,hafniensis,
B262,Bacillus,mycoides,
B264,Shewanella,hafniensis,
B265,Shewanella,baltica,
B269,Shewanella,baltica,
B278,Pseudomonas,guineae,
B279,Bacillus,pumilus,
B414,Serratia,plymuthica,
B423,Buttiauxella,agrestis,
B426,Acinetobacter,baumannii,
B428,Bacillus,subtilis,
B433,Acinetobacter,baumannii,
B434,Acinetobacter,baumannii,
B436,Pseudomonas,baetica,
B437,Pseudomonas,guineae,
B438,Pseudomonas,guineae,
B439,Rossellomorea,aquimaris,
B444,Shewanella,baltica,
B448,Bacillus,pumilus,
B449,Marinomonas,polaris,
B450,Bacillus,toyonensis,
B451,Stenotrophomonas,rhizophila,
B452,Bacillus,subtilis,
B455,Serratia,liquefaciens,
B456,Serratia,plymuthica,
B459,Serratia,proteamaculans,
B461,Serratia,plymuthica,
B463,Plantibacter,flavus,
B466,Stenotrophomonas,rhizophila,
B473,Paenibacillus,amylolyticus,
B477,Pseudomonas,baetica,
B478A,Pseudomonas,fragi,
B478B,Shewanella,baltica,
B482,Pseudomonas,marincola,
B486,Pseudomonas,fragi,
B487,Shewanella,baltica,
B488A,Pseudomonas,fragi,
B488B,Pseudomonas,guineae,
B493,Pseudomonas,guineae,
B494,Pseudomonas,guineae,
B495,Bacillus,mycoides,
B497,Microbacterium,oxydans,
B500,Lysinibacillus,fusiformis,
B501,Lysinibacillus,fusiformis,
B502,Bacillus,mobilis,
B503,Pantoea,agglomerans,
B505,Bacillus,amyloliquefaciens,
B507,Lactococcus,lactis,
B512,Bacillus,aerius,
B513,Lactococcus,lactis,
B514,Bacillus,pacificus,
B518,Pseudomonas,oryzihabitans,
B519,Pseudomonas,parafulva,
B520,Kluyvera,intermedia,
B521,Exiguobacterium,acetylicum,
B541,Pseudomonas,weihenstephanensis,
B559,Pseudomonas,reinekei,
B560,Stenotrophomonas,rhizophila,
B561,Aeromonas,molluscorum,
B628,Cellulosimicrobium,marinum,RS-74
B855,Stenotrophomonas,rhizophilia,e-p10
C200,Plantibacter,flavus,
C576,Alternaria,alternata,
